time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1584175559.09719491,0.02704206,0.00895638,0.00000250,40211.00000000,0.03217294,0.000000,0.000000
1584175559.19726706,0.02707629,0.00882270,0.00000263,40847.00000000,0.03494796,0.000000,0.000000
1584175559.29737711,0.02709404,0.00876987,0.00000247,41376.00000000,0.03119489,0.000000,0.000000
1584175559.39744592,0.02712156,0.00976383,0.00000251,42059.00000000,0.03350476,0.000000,0.000000
1584175559.49753499,0.02714462,0.00938158,0.00000251,42623.00000000,0.03251790,0.000000,0.000000
1584175559.59764695,0.02716702,0.00859135,0.00000254,43293.00000000,0.03240971,0.000000,0.000000
1584175559.69769597,0.02719451,0.00928535,0.00000254,44028.00000000,0.03365356,0.000000,0.000000
1584175559.79782200,0.02721539,0.00929591,0.00000254,44628.00000000,0.03214501,0.000000,0.000000
1584175559.89785004,0.02724986,0.00963148,0.00000266,45358.00000000,0.03541825,0.000000,0.000000
1584175559.99797392,0.02728026,0.00934906,0.00000265,46169.00000000,0.03451492,0.000000,0.000000
1584175560.09810591,0.02730671,0.00954902,0.00000254,46605.00000000,0.03362950,0.000000,0.000000
1584175560.19813490,0.02733602,0.01013773,0.00000252,47439.00000000,0.03436853,0.000000,0.000000
1584175560.29817390,0.02735998,0.00931631,0.00000259,47975.00000000,0.03313558,0.000000,0.000000
1584175560.39830804,0.02741103,0.01109435,0.00000272,48595.00000000,0.03976596,0.000000,0.000000
1584175560.49839997,0.02743872,0.00963311,0.00000256,49226.00000000,0.03416748,0.000000,0.000000
1584175560.59848404,0.02746534,0.00969632,0.00000257,50148.00000000,0.03395952,0.000000,0.000000
1584175560.69856095,0.02749458,0.00987574,0.00000257,50878.00000000,0.03465914,0.000000,0.000000
1584175560.79864693,0.02752213,0.00993222,0.00000255,51590.00000000,0.03429971,0.000000,0.000000
1584175560.89874911,0.02754368,0.00920522,0.00000252,52120.00000000,0.03286577,0.000000,0.000000
1584175560.99882197,0.02756416,0.00909252,0.00000253,53030.00000000,0.03264260,0.000000,0.000000
1584175561.09889293,0.02758826,0.00945242,0.00000257,53737.00000000,0.03358845,0.000000,0.000000
1584175561.19896412,0.02761839,0.01107675,0.00000258,54450.00000000,0.03515082,0.000000,0.000000
1584175561.29909301,0.02764685,0.00947736,0.00000258,54546.00000000,0.03479124,0.000000,0.000000
1584175561.39916801,0.02767866,0.01020688,0.00000262,55214.00000000,0.03569416,0.000000,0.000000
1584175561.49921989,0.02770603,0.00985712,0.00000260,56023.00000000,0.03463021,0.000000,0.000000
1584175561.59932089,0.02774798,0.01027587,0.00000280,56656.00000000,0.03840447,0.000000,0.000000
1584175561.69943404,0.02777853,0.01002218,0.00000261,57687.00000000,0.03557011,0.000000,0.000000
1584175561.79951000,0.02781415,0.01063504,0.00000267,58542.00000000,0.03693153,0.000000,0.000000
1584175561.89961696,0.02784582,0.00948965,0.00000268,59373.00000000,0.03598529,0.000000,0.000000
1584175561.99969101,0.02788395,0.01150151,0.00000264,60119.00000000,0.03772068,0.000000,0.000000
1584175562.09975290,0.02792137,0.01081172,0.00000277,60454.00000000,0.03761492,0.000000,0.000000
1584175562.19988704,0.02795232,0.01070297,0.00000274,61490.00000000,0.03599732,0.000000,0.000000
1584175562.29991698,0.02799777,0.01137575,0.00000291,62348.00000000,0.03986133,0.000000,0.000000
1584175562.40004396,0.02804061,0.01193084,0.00000273,63223.00000000,0.03926375,0.000000,0.000000
1584175562.50009799,0.02808071,0.01072664,0.00000273,64241.00000000,0.03862823,0.000000,0.000000
1584175562.60021210,0.02811736,0.01063642,0.00000273,65481.00000000,0.03779302,0.000000,0.000000
1584175562.70026708,0.02815641,0.01182214,0.00000281,66352.00000000,0.03850454,0.000000,0.000000
1584175562.80038500,0.02819752,0.01039133,0.00000275,67077.00000000,0.03913118,0.000000,0.000000
1584175562.90047693,0.02822773,0.00942434,0.00000278,67752.00000000,0.03629510,0.000000,0.000000
1584175563.00051403,0.02826206,0.01149188,0.00000277,68472.00000000,0.03746147,0.000000,0.000000
1584175563.10067296,0.02828952,0.01022195,0.00000260,67963.00000000,0.03567683,0.000000,0.000000
1584175563.20074797,0.02831425,0.00943242,0.00000258,69097.00000000,0.03499126,0.000000,0.000000
1584175563.30084395,0.02832983,0.00883700,0.00000256,70100.00000000,0.03255361,0.000000,0.000000
1584175563.40090799,0.02835192,0.00925307,0.00000259,71170.00000000,0.03435965,0.000000,0.000000
1584175563.50102210,0.02836975,0.00914139,0.00000258,72206.00000000,0.03323569,0.000000,0.000000
1584175563.60110903,0.02839350,0.00868052,0.00000265,73282.00000000,0.03490143,0.000000,0.000000
1584175563.70118690,0.02841486,0.00997468,0.00000259,74145.00000000,0.03428954,0.000000,0.000000
